iter	Passed	Remaining
147	1135	3698
148	1137	3672
149	1147	3670
150	1158	3673
151	1165	3664
152	1169	3644
153	1180	3649
154	1182	3624
155	1194	3630
156	1206	3633
157	1210	3614
158	1213	3595
159	1218	3578
160	1228	3579
161	1239	3582
162	1246	3572
163	1255	3568
164	1260	3551
165	1269	3549
166	1279	3546
167	1283	3528
168	1285	3505
169	1293	3500
170	1303	3499
171	1315	3502
172	1326	3503
173	1328	3481
174	1334	3470
175	1336	3447
176	1346	3445
177	1348	3423
178	1352	3406
179	1356	3390
180	1367	3392
181	1375	3384
182	1386	3386
183	1397	3387
184	1407	3386
185	1419	3387
186	1430	3387
187	1439	3384
188	1443	3369
189	1447	3351
190	1453	3340
191	1462	3336
192	1472	3333
193	1483	3333
194	1494	3332
195	1504	3332
196	1506	3312
197	1517	3311
198	1526	3307
199	1529	3287
200	1536	3278
201	1544	3273
202	1554	3269
203	1564	3266
204	1568	3252
205	1573	3237
206	1582	3233
207	1592	3231
208	1602	3228
209	1610	3221
210	1620	3217
211	1629	3212
212	1638	3207
213	1650	3207
214	1656	3198
215	1667	3196
216	1674	3187
217	1685	3185
218	1691	3175
219	1693	3156
220	1700	3146
221	1702	3128
222	1713	3127
223	1717	3113
224	1726	3108
225	1738	3107
226	1747	3102
227	1758	3100
228	1760	3082
229	1767	3073
230	1777	3069
231	1788	3067
232	1799	3066
233	1810	3064
234	1820	3059
235	1828	3052
236	1838	3049
237	1843	3035
238	1850	3026
239	1852	3009
240	1862	3005
241	1869	2996
242	1880	2994
243	1881	2976
244	1883	2960
245	1885	2943
246	1892	2934
247	1896	2921
248	1905	2915
249	1907	2899
250	1916	2894
251	1924	2886
252	1934	2882
253	1938	2868
254	1944	2859
255	1950	2850
256	1957	2841
257	1961	2828
258	1967	2818
259	1977	2814
260	1989	2812
261	1996	2804
262	2002	2794
263	2011	2789
264	2023	2787
265	2030	2778
266	2036	2769
267	2046	2763
268	2052	2754
269	2062	2750
270	2069	2742
271	2074	2730
272	2085	2727
273	2096	2724
274	2106	2719
275	2110	2706
276	2112	2691
277	2119	2683
278	2126	2675
279	2135	2669
280	2147	2666
281	2158	2663
282	2167	2657
283	2178	2654
284	2182	2642
285	2186	2630
286	2190	2618
287	2202	2615
288	2213	2612
289	2217	2600
290	2228	2596
291	2233	2584
292	2244	2581
293	2254	2576
294	2261	2568
295	2271	2563
296	2273	2549
297	2284	2545
298	2294	2540
299	2301	2531
300	2310	2525
301	2320	2520
302	2332	2517
303	2341	2511
304	2343	2497
305	2354	2493
306	2358	2481
307	2365	2473
308	2377	2469
309	2384	2461
310	2395	2457
311	2399	2445
312	2410	2440
313	2412	2428
314	2416	2416
315	2420	2405
316	2429	2399
317	2441	2395
318	2452	2391
319	2462	2385
320	2466	2374
321	2476	2369
322	2478	2356
323	2482	2344
324	2489	2335
325	2492	2324
326	2494	2311
327	2506	2307
328	2508	2294
329	2509	2281
330	2521	2277
331	2532	2272
332	2541	2266
333	2548	2258
334	2558	2252
335	2565	2244
336	2571	2235
337	2575	2224
338	2586	2220
339	2598	2216
340	2608	2211
341	2611	2198
342	2613	2186
343	2620	2178
344	2627	2170
345	2638	2165
346	2645	2157
347	2652	2149
348	2659	2141
349	2663	2130
350	2672	2124
351	2680	2116
352	2689	2110
353	2693	2100
354	2704	2094
355	2706	2083
356	2710	2072
357	2722	2068
358	2733	2063
359	2737	2053
360	2744	2045
361	2754	2038
362	2765	2034
363	2772	2026
364	2784	2021
365	2788	2011
366	2799	2006
367	2810	2001
368	2814	1990
369	2817	1980
370	2823	1971
371	2834	1966
372	2842	1958
373	2851	1951
374	2855	1941
375	2865	1935
376	2869	1925
377	2880	1920
378	2892	1915
379	2896	1905
380	2905	1898
381	2914	1891
382	2918	1882
383	2925	1874
384	2938	1869
385	2950	1864
386	2957	1857
387	2964	1848
388	2974	1842
389	2984	1836
390	2988	1826
391	3000	1821
392	3009	1814
393	3020	1809
394	3030	1802
395	3034	1793
396	3038	1783
397	3040	1772
398	3047	1764
399	3052	1755
400	3064	1750
401	3068	1740
402	3072	1730
403	3078	1722
404	3082	1712
405	3092	1706
406	3100	1698
407	3109	1691
408	3120	1686
409	3128	1678
410	3132	1669
411	3141	1662
412	3148	1654
413	3159	1648
414	3171	1643
415	3175	1633
416	3183	1625
417	3193	1619
418	3205	1614
419	3217	1608
420	3223	1600
421	3233	1594
422	3243	1587
423	3249	1578
424	3260	1572
425	3270	1566
426	3281	1560
427	3291	1553
428	3302	1547
429	3306	1537
430	3310	1528
431	3317	1520
432	3324	1512
433	3334	1505
434	3342	1498
435	3353	1492
436	3360	1484
437	3370	1477
438	3379	1470
439	3388	1463
440	3398	1456
441	3404	1448
442	3412	1440
443	3421	1433
444	3428	1425
445	3439	1418
446	3445	1410
447	3452	1402
448	3456	1393
449	3460	1384
450	3467	1376
451	3477	1369
452	3488	1363
453	3492	1354
454	3503	1347
455	3513	1340
456	3519	1332
457	3531	1326
458	3540	1319
459	3552	1313
460	3557	1304
461	3564	1296
462	3574	1289
463	3586	1282
464	3597	1276
465	3606	1269
466	3610	1260
467	3621	1253
468	3625	1244
469	3635	1237
470	3645	1230
471	3652	1222
472	3659	1214
473	3665	1206
474	3672	1198
475	3676	1189
476	3683	1181
477	3687	1172
478	3696	1165
479	3704	1157
480	3715	1151
481	3719	1142
482	3727	1134
483	3735	1126
484	3744	1119
485	3756	1113
486	3763	1104
487	3770	1097
488	3777	1089
489	3781	1080
490	3786	1071
491	3790	1063
492	3797	1055
493	3807	1048
494	3816	1040
495	3822	1032
496	3831	1025
497	3842	1018
498	3851	1011
499	3862	1004
500	3870	996
501	3874	987
502	3884	980
503	3893	973
504	3901	965
505	3909	958
506	3921	951
507	3930	943
508	3932	934
509	3942	927
510	3954	920
511	3965	913
512	3972	906
513	3980	898
514	3987	890
515	3990	881
516	4000	874
517	4004	865
518	4016	859
519	4025	851
520	4031	843
521	4041	836
522	4051	828
523	4056	820
524	4063	812
525	4074	805
526	4080	797
527	4092	790
528	4102	783
529	4108	775
530	4116	767
531	4125	759
532	4129	751
533	4138	744
534	4144	736
535	4151	728
536	4162	720
537	4171	713
538	4179	705
539	4190	698
540	4199	690
541	4207	683
542	4216	675
543	4222	667
544	4234	660
545	4241	652
546	4250	645
547	4258	637
548	4269	629
549	4281	622
550	4288	614
551	4293	606
552	4299	598
553	4309	591
554	4313	582
555	4324	575
556	4335	568
557	4341	560
558	4351	552
559	4361	545
560	4371	537
561	4382	530
562	4386	522
563	4397	514
564	4408	507
565	4417	499
566	4429	492
567	4442	484
568	4451	477
569	4456	469
570	4466	461
571	4475	453
572	4485	446
573	4496	438
574	4505	431
575	4510	422
576	4520	415
577	4532	407
578	4543	400
579	4550	392
580	4554	384
581	4560	376
582	4564	367
583	4575	360
584	4584	352
585	4591	344
586	4602	337
587	4611	329
588	4615	321
589	4619	313
590	4626	305
591	4638	297
592	4646	289
593	4649	281
594	4657	273
595	4660	265
596	4671	258
597	4674	250
598	4686	242
599	4697	234
600	4701	226
601	4712	219
602	4723	211
603	4736	203
604	4748	196
605	4753	188
606	4756	180
607	4763	172
608	4774	164
609	4783	156
610	4787	148
611	4797	141
612	4807	133
613	4818	125
614	4828	117
615	4839	109
616	4850	102
617	4856	94
618	4868	86
619	4879	78
620	4889	70
621	4901	63
622	4905	55
623	4916	47
624	4924	39
625	4935	31
626	4944	23
627	4957	15
628	4968	7
629	4976	0
